DATE,cloud_cover,wind_speed,wind_gust,humidity,pressure,precipitation,sunshine,temp_mean,picnic_weather
20000315,5,4.8,13.0,0.75,1.0287,0.02,4.4,6.0,False
20000316,7,3.3,11.0,0.89,1.0299,0.02,0.0,8.0,False
20000317,8,3.4,11.0,0.84,1.0298,0.0,0.4,8.2,False
20000318,8,4.8,14.0,0.86,1.0297,0.37,2.4,7.0,False
20000319,7,3.0,8.0,0.85,1.0339,0.01,6.5,5.8,False
20000320,6,1.5,6.0,0.91,1.0294,0.0,2.3,5.1,False
20000321,6,1.0,4.0,0.87,1.0232,0.0,0.0,6.0,False
20000322,3,1.5,4.0,0.81,1.0171,0.0,9.4,7.2,False
20000323,6,2.6,7.0,0.85,1.0139,0.0,8.8,7.2,False
20000324,7,2.7,8.0,0.91,1.0082,0.44,0.0,8.8,False
20000325,7,2.5,12.0,0.88,1.0114,0.4,3.1,8.6,False
20000326,6,2.8,11.0,0.87,1.0085,0.33,4.9,6.3,False
20000327,6,3.5,12.0,0.86,1.0113,0.06,1.6,5.6,False
20000328,7,4.7,12.0,0.85,1.0175,0.0,0.0,4.1,False
20000329,8,5.9,12.0,0.86,1.0154,0.0,0.0,5.9,False
20000330,8,3.6,10.0,0.87,1.011,0.0,0.0,6.5,False
20000331,8,1.3,4.0,0.84,1.0066,0.0,0.0,6.1,False
20000401,7,1.3,7.0,0.86,1.0038,0.06,0.6,6.2,False
20000402,7,3.9,8.0,0.78,1.001,0.11,3.6,10.0,False
20000403,7,4.0,8.0,0.7,0.9906,0.0,6.0,11.9,False
20000404,7,4.8,16.0,0.81,0.9921,0.01,2.0,10.1,False
20000405,6,6.1,14.0,0.62,1.0131,0.0,2.1,4.8,False
20000406,3,3.3,10.0,0.74,1.0301,0.0,8.4,4.8,False
20000407,2,2.0,7.0,0.78,1.0331,0.0,10.7,5.5,False
20000408,6,1.8,6.0,0.68,1.0237,0.0,4.0,6.6,False
20000409,2,5.4,13.0,0.61,1.0147,0.0,10.8,9.3,False
20000410,1,4.2,10.0,0.6,1.0124,0.0,12.6,5.9,False
20000411,5,2.3,10.0,0.68,0.9957,0.0,8.3,6.1,False
20000412,7,5.3,15.0,0.8,0.9889,0.67,3.5,6.2,False
20000413,7,5.3,17.0,0.84,0.992,0.23,2.3,5.9,False
20000414,7,3.1,10.0,0.82,0.9992,0.0,6.2,6.9,False
20000415,8,4.9,15.0,0.8,0.9946,0.39,1.5,8.9,False
20000416,6,4.7,15.0,0.65,0.9985,0.01,7.4,9.3,False
20000417,6,5.2,16.0,0.77,0.999,0.42,5.7,10.7,False
20000418,4,4.5,11.0,0.73,1.0073,0.0,8.7,10.6,False
20000419,4,3.0,8.0,0.75,1.0098,0.0,7.7,11.9,True
20000420,7,4.0,12.0,0.76,1.0124,0.0,5.0,13.4,False
20000421,7,3.5,11.0,0.73,1.0141,0.05,5.2,13.7,False
20000422,8,2.7,9.0,0.81,1.0108,0.39,0.4,13.3,False
20000423,8,2.0,8.0,0.95,1.0096,0.89,0.0,11.1,False
20000424,5,1.9,6.0,0.82,1.0131,0.0,4.9,11.3,False
20000425,5,4.2,12.0,0.66,1.011,0.0,5.2,14.9,True
20000426,4,3.7,12.0,0.74,1.0083,0.04,8.2,14.9,False
20000427,7,2.8,9.0,0.81,1.01,0.04,2.1,15.2,False
20000428,4,2.5,7.0,0.83,1.0061,0.0,10.4,15.8,True
20000429,8,2.3,8.0,0.91,1.0157,0.59,0.0,11.9,False
20000430,8,1.9,5.0,0.89,1.0218,0.02,0.0,12.5,False
20000501,8,3.4,9.0,0.88,1.0227,0.0,1.7,12.8,False
20000502,8,4.4,10.0,0.92,1.023,0.0,0.0,10.4,False
20000503,8,3.3,7.0,0.9,1.0206,0.0,0.0,12.0,False
20000504,6,3.8,9.0,0.85,1.0199,0.0,6.9,13.4,True
20000505,1,3.8,10.0,0.56,1.0157,0.0,14.0,18.1,True
20000506,2,3.8,10.0,0.54,1.0139,0.0,10.2,20.1,True
20000507,3,3.3,8.0,0.63,1.0147,0.06,10.7,19.2,False
20000508,5,2.0,9.0,0.73,1.0173,0.0,9.7,19.3,True
20000509,4,1.7,5.0,0.74,1.0176,0.0,9.1,19.6,True
20000510,4,2.4,10.0,0.73,1.0168,0.0,6.0,19.8,True
20000511,5,4.4,11.0,0.62,1.0187,0.0,12.3,18.4,True
20000512,4,3.8,10.0,0.57,1.0201,0.0,12.8,18.9,True
20000513,3,3.0,10.0,0.5,1.0222,0.0,11.8,18.1,True
20000514,1,1.8,6.0,0.56,1.023,0.0,14.6,19.2,True
20000515,5,2.1,8.0,0.61,1.0187,0.0,13.3,20.8,True
20000516,5,2.9,24.0,0.75,1.0126,2.1,9.5,20.2,False
20000517,7,5.5,17.0,0.74,1.0107,0.12,5.5,13.7,False
20000518,6,4.8,19.0,0.76,1.0063,0.35,5.6,11.4,False
20000519,7,3.4,13.0,0.86,1.0063,0.4,1.3,10.3,False
20000520,4,2.7,10.0,0.76,1.0116,0.04,8.9,10.8,False
20000521,8,2.3,7.0,0.92,1.0073,0.58,0.0,10.0,False
20000522,5,2.0,6.0,0.85,1.0148,0.03,3.4,11.4,False
20000523,7,3.8,11.0,0.85,1.0163,0.43,1.0,13.8,False
20000524,8,2.6,10.0,0.83,1.0127,0.7,3.1,14.0,False
20000525,6,5.7,13.0,0.81,1.0096,0.49,5.3,13.2,False
20000526,7,3.6,8.0,0.75,1.0116,0.4,2.2,13.6,False
20000527,6,7.2,22.0,0.71,1.0082,0.06,6.6,12.4,False
20000528,7,7.2,26.0,0.88,1.001,1.85,0.4,9.4,False
20000529,5,3.8,13.0,0.84,1.0116,0.79,7.4,10.1,False
20000530,6,2.1,11.0,0.86,1.0143,0.08,5.4,9.8,False
20000531,4,1.8,7.0,0.69,1.0192,0.0,11.5,12.5,True
20000601,6,4.1,13.0,0.82,1.0187,0.08,2.2,15.1,False
20000602,4,2.9,9.0,0.8,1.0187,0.0,10.7,16.4,True
20000603,6,2.4,8.0,0.83,1.0177,1.14,6.6,18.1,False
20000604,5,3.5,10.0,0.81,1.0167,0.02,7.5,16.7,False
20000605,7,2.0,7.0,0.93,1.0172,0.57,2.3,12.3,False
20000606,7,2.8,9.0,0.86,1.0184,1.83,1.9,12.8,False
20000607,5,3.3,11.0,0.8,1.0224,0.02,7.2,12.3,False
20000608,2,3.8,12.0,0.66,1.019,0.0,15.3,15.5,True
20000609,2,3.8,10.0,0.67,1.0112,0.0,13.6,21.2,True
20000610,6,2.8,8.0,0.79,1.0158,0.0,7.6,16.6,True
20000611,5,2.7,9.0,0.78,1.0184,0.0,7.9,14.8,True
20000612,5,4.2,11.0,0.83,1.0246,0.0,6.1,16.2,True
20000613,7,3.4,9.0,0.85,1.0247,0.0,1.7,16.9,True
20000614,8,4.1,11.0,0.87,1.0228,0.41,2.1,17.2,False
20000615,5,3.3,10.0,0.77,1.0245,0.01,7.0,15.1,False
20000616,3,2.8,8.0,0.7,1.0291,0.0,13.3,13.2,True
20000617,1,2.3,6.0,0.64,1.0297,0.0,15.1,14.9,True
20000618,2,2.2,7.0,0.58,1.0247,0.0,15.2,21.1,True
20000619,0,3.5,10.0,0.59,1.0176,0.0,15.3,25.7,True
20000620,2,2.5,11.0,0.69,1.0126,0.0,14.8,25.9,True
20000621,6,4.2,13.0,0.73,1.0124,0.1,5.0,20.5,False
20000622,6,4.4,14.0,0.76,1.0138,0.34,3.7,16.3,False
20000623,7,4.9,14.0,0.84,1.0149,0.59,2.1,15.1,False
20000624,6,3.4,11.0,0.84,1.0147,0.83,4.3,13.5,False
20000625,7,3.4,11.0,0.8,1.0188,0.08,0.7,12.7,False
20000626,5,3.4,12.0,0.69,1.024,0.0,4.9,12.4,False
20000627,4,2.7,8.0,0.73,1.0235,0.0,9.2,12.3,False
20000628,5,2.6,10.0,0.72,1.0204,0.0,7.8,12.4,False
20000629,5,3.0,9.0,0.65,1.0199,0.0,9.0,13.2,False
20000630,3,2.0,9.0,0.72,1.0157,0.0,11.4,13.7,True
20000701,8,2.2,5.0,0.87,1.0111,0.27,0.1,13.6,False
20000702,7,1.9,5.0,0.81,1.0105,0.0,3.9,19.0,True
20000703,5,2.0,8.0,0.77,1.0091,0.36,6.9,19.4,False
20000704,7,2.1,7.0,0.84,1.0063,0.67,3.3,17.6,False
20000705,8,2.4,8.0,0.93,1.012,0.75,0.2,15.8,False
20000706,7,2.3,8.0,0.78,1.0194,0.0,4.2,16.5,True
20000707,7,5.0,12.0,0.73,1.0163,0.0,2.8,14.0,False
20000708,7,2.7,9.0,0.86,1.0146,0.12,0.4,12.7,False
20000709,8,4.5,11.0,0.94,0.9996,0.71,0.0,13.8,False
20000710,7,5.3,13.0,0.82,0.9899,0.76,6.0,15.2,False
20000711,7,4.2,13.0,0.87,0.9992,0.26,1.0,13.3,False
20000712,4,3.5,11.0,0.68,1.013,0.0,13.3,13.9,False
20000713,8,3.1,9.0,0.92,1.0095,0.91,0.5,14.5,False
20000714,7,3.1,13.0,0.87,1.0065,0.77,2.6,13.2,False
20000715,7,3.0,10.0,0.87,1.0101,0.86,3.0,12.8,False
20000716,7,3.0,10.0,0.84,1.0145,0.0,2.1,14.2,True
20000717,8,2.6,8.0,0.86,1.0187,0.03,1.6,13.6,False
20000718,7,3.0,8.0,0.78,1.0194,0.0,2.3,14.0,False
20000719,6,3.1,10.0,0.78,1.0198,0.01,4.8,16.1,False
20000720,4,2.4,9.0,0.76,1.0217,0.0,11.4,16.3,True
20000721,5,3.3,8.0,0.8,1.0241,0.0,2.8,14.6,False
20000722,6,2.8,8.0,0.88,1.0207,0.0,3.0,15.1,True
20000723,5,3.5,9.0,0.85,1.0156,0.0,8.4,16.5,True
20000724,7,4.9,11.0,0.82,1.0057,0.0,4.9,18.4,True
20000725,8,3.6,10.0,0.88,1.0053,0.03,2.0,17.0,False
20000726,8,1.4,5.0,0.87,1.0108,0.0,0.0,15.5,False
20000727,6,1.6,5.0,0.85,1.0139,0.58,4.3,16.5,False
20000728,6,2.4,11.0,0.86,1.0134,0.0,6.3,17.0,True
20000729,5,2.0,7.0,0.93,1.0158,2.77,2.0,15.9,False
20000730,5,1.8,8.0,0.87,1.0215,0.0,7.4,16.8,True
20000731,4,2.0,6.0,0.81,1.0231,0.0,11.1,18.3,True
20000801,5,2.5,8.0,0.77,1.0172,0.39,6.9,21.0,False
20000802,4,4.1,11.0,0.78,1.0149,0.0,11.5,18.2,True
20000803,6,3.4,10.0,0.81,1.0156,0.72,6.7,17.3,False
20000804,4,1.8,6.0,0.84,1.0207,0.0,5.1,16.5,True
20000805,3,1.8,6.0,0.82,1.0241,0.0,7.3,16.6,True
20000806,5,2.4,8.0,0.85,1.0224,0.0,5.2,17.5,True
20000807,7,2.0,7.0,0.81,1.0222,0.0,6.3,18.6,True
20000808,5,2.5,8.0,0.85,1.0206,0.12,6.8,17.3,False
20000809,5,2.0,8.0,0.8,1.0199,0.0,8.4,18.4,True
20000810,7,3.2,10.0,0.86,1.0152,0.06,0.6,18.7,False
20000811,5,2.0,7.0,0.75,1.0155,0.0,5.9,18.9,True
20000812,1,1.5,6.0,0.77,1.0154,0.0,11.9,17.6,True
20000813,3,2.8,9.0,0.73,1.0167,0.0,8.3,21.7,True
20000814,7,2.8,9.0,0.82,1.0178,0.23,4.6,21.7,False
20000815,6,3.4,9.0,0.83,1.0185,0.0,2.0,18.2,True
20000816,7,3.3,14.0,0.77,1.0148,0.0,7.6,18.3,True
20000817,4,4.1,14.0,0.77,1.0123,0.02,9.9,17.9,False
20000818,6,2.4,8.0,0.75,1.0138,0.04,6.7,17.6,False
20000819,7,2.3,10.0,0.84,1.0116,0.28,3.0,18.6,False
20000820,6,2.3,9.0,0.82,1.0126,1.16,6.3,17.5,False
20000821,5,2.0,6.0,0.83,1.0153,0.22,6.8,15.6,False
20000822,4,1.5,7.0,0.84,1.0204,0.0,6.6,15.3,True
20000823,1,3.2,8.0,0.75,1.0246,0.0,12.5,15.5,True
20000824,3,1.7,7.0,0.7,1.0241,0.0,12.8,15.6,True
20000825,4,2.1,7.0,0.85,1.0222,0.0,3.6,16.3,True
20000826,5,4.3,13.0,0.72,1.0119,0.0,10.3,19.5,True
20000827,7,1.8,7.0,0.94,1.0145,0.65,0.0,16.7,False
20000828,4,2.3,13.0,0.91,1.0184,0.45,4.2,14.4,False
20000829,4,2.2,7.0,0.86,1.0196,0.0,5.5,14.6,True
20000830,3,1.5,7.0,0.83,1.0182,0.0,9.6,13.9,True
20000831,4,1.7,5.0,0.83,1.0121,0.0,8.7,14.4,True
20000901,7,3.3,11.0,0.82,1.003,0.44,3.8,15.7,False
20000902,7,2.7,9.0,0.91,1.0035,0.62,2.3,14.5,False
20000903,7,3.0,11.0,0.77,1.0139,0.43,3.7,14.9,False
20000904,7,2.3,9.0,0.85,1.0212,0.03,0.4,13.8,False
20000905,7,2.8,8.0,0.81,1.0212,0.02,4.6,15.4,False
20000906,7,5.0,15.0,0.85,1.0093,0.28,1.1,15.1,False
20000907,7,3.9,14.0,0.74,1.0141,0.0,2.6,15.9,True
20000908,8,4.3,10.0,0.94,1.0188,0.07,0.0,17.4,False
20000909,7,2.0,7.0,0.96,1.0233,0.78,0.5,17.3,False
20000910,5,1.2,5.0,0.92,1.023,0.0,1.9,17.0,True
20000911,3,2.5,8.0,0.88,1.0173,0.0,10.5,18.4,True
20000912,5,3.2,9.0,0.89,1.0106,0.0,0.6,17.6,True
20000913,6,2.5,10.0,0.87,1.0129,0.0,5.8,16.0,True
20000914,6,1.4,6.0,0.89,1.0152,0.0,3.0,15.2,True
20000915,7,2.7,13.0,0.89,1.0101,1.93,3.0,16.6,False
20000916,5,2.8,13.0,0.88,1.0039,0.04,3.8,15.5,False
20000917,5,1.6,6.0,0.97,1.01,0.43,1.0,13.0,False
20000918,7,3.7,10.0,0.84,1.0066,0.0,5.2,15.9,True
20000919,5,5.2,14.0,0.77,1.0023,0.0,10.7,17.4,True
20000920,8,2.7,11.0,0.92,1.0069,0.17,0.0,14.8,False
20000921,5,2.0,6.0,0.9,1.0163,0.01,4.7,13.7,False
20000922,5,3.1,9.0,0.87,1.0219,0.0,6.0,15.4,True
20000923,5,3.8,9.0,0.82,1.0225,0.0,10.4,16.5,True
20000924,5,4.0,12.0,0.79,1.0177,0.06,9.6,14.7,False
20000925,5,2.4,8.0,0.86,1.0209,0.03,6.5,15.2,False
20000926,7,2.8,8.0,0.84,1.0172,0.65,3.6,16.9,False
20000927,6,3.7,10.0,0.82,1.0136,0.31,6.4,16.1,False
20000928,8,4.3,11.0,0.89,1.0045,0.33,0.0,15.8,False
20000929,7,2.3,7.0,0.89,1.0031,0.01,0.7,16.9,False
20000930,7,2.1,6.0,0.9,1.0054,0.23,3.0,15.9,False
20001001,7,1.6,6.0,0.98,1.0058,0.61,0.0,13.8,False
20001002,4,2.9,8.0,0.92,1.0065,0.03,5.8,12.4,False
20001003,5,3.0,8.0,0.85,1.0198,0.0,4.0,12.7,False
20001004,7,2.9,9.0,0.92,1.0195,0.13,0.0,12.2,False
20001005,7,2.8,13.0,0.91,1.0164,0.48,2.1,12.1,False
20001006,6,2.5,13.0,0.89,1.0215,0.81,5.1,9.2,False
20001007,2,2.2,7.0,0.86,1.0228,0.0,9.8,8.4,False
20001008,7,3.8,10.0,0.94,1.0139,0.46,0.0,10.1,False
20001009,5,3.7,14.0,0.86,1.0059,0.1,6.1,9.6,False
20001010,6,6.9,17.0,0.86,0.9858,0.8,2.4,9.4,False
20001011,5,7.1,19.0,0.82,0.9792,0.87,4.5,10.4,False
20001012,4,5.1,13.0,0.8,0.9954,0.17,7.0,11.7,False
20001013,4,3.2,10.0,0.87,1.0096,0.0,8.4,11.6,False
20001014,8,2.0,6.0,0.97,1.0172,0.0,0.2,9.8,False
20001015,8,2.7,10.0,0.98,1.011,0.04,0.1,10.3,False
20001016,8,4.9,19.0,0.93,1.0049,0.46,0.4,12.3,False
20001017,3,3.2,9.0,0.89,1.0213,0.03,7.7,10.2,False
20001018,7,4.2,11.0,0.9,1.0205,0.1,0.0,9.9,False
20001019,6,2.6,9.0,0.93,1.0182,0.63,5.7,10.7,False
20001020,6,4.1,10.0,0.91,1.0185,0.0,4.5,11.3,False
20001021,8,3.5,8.0,0.87,1.0198,0.0,1.5,14.9,True
20001022,6,2.3,6.0,0.88,1.0248,0.0,4.5,14.9,True
20001023,5,4.5,14.0,0.88,1.0181,1.7,4.6,14.6,False
20001024,7,5.3,12.0,0.88,1.0162,0.02,0.7,12.2,False
20001025,7,6.2,18.0,0.84,1.0072,0.15,0.3,12.2,False
20001026,6,3.9,13.0,0.84,1.0112,0.34,6.1,10.2,False
20001027,8,5.0,13.0,0.98,1.0135,0.79,0.0,10.8,False
20001028,8,5.6,13.0,0.95,1.0091,0.29,0.0,13.2,False
20001029,5,8.2,20.0,0.8,1.0043,0.29,5.2,10.1,False
20001030,6,10.3,24.0,0.85,0.9878,1.16,0.0,10.5,False
20001031,4,7.0,17.0,0.85,0.992,0.09,1.3,9.2,False
20001101,4,5.6,16.0,0.89,0.997,0.81,1.1,7.6,False
20001102,4,5.8,16.0,0.88,0.9949,0.73,2.1,7.8,False
20001103,3,4.5,12.0,0.82,0.9963,0.0,6.9,7.7,False
20001104,4,4.1,10.0,0.91,1.0066,0.14,5.6,6.8,False
20001105,5,4.9,15.0,0.85,1.0056,0.0,6.3,7.1,False
20001106,7,7.2,15.0,0.81,0.9815,0.43,2.0,9.4,False
20001107,8,4.7,14.0,0.9,0.9791,0.11,0.0,8.5,False
20001108,8,5.6,13.0,0.91,0.9877,0.36,0.0,8.2,False
20001109,8,5.4,12.0,0.94,1.002,2.23,0.0,7.8,False
20001110,7,5.1,11.0,0.91,1.0138,0.62,0.0,7.1,False
20001111,8,6.3,14.0,0.81,1.0133,0.08,0.7,8.6,False
20001112,8,5.7,13.0,0.89,1.0,0.91,0.0,8.7,False
20001113,7,3.3,9.0,0.93,0.9991,0.0,1.9,7.9,False
20001114,5,2.6,7.0,0.94,1.0053,0.0,2.4,5.6,False
20001115,6,3.9,10.0,0.94,1.0096,0.25,0.5,5.7,False
20001116,7,5.1,12.0,0.92,1.0066,0.39,0.0,7.2,False
20001117,4,3.3,9.0,0.93,1.0099,0.44,4.8,5.0,False
20001118,7,5.4,14.0,0.91,1.0077,0.29,3.6,6.4,False
20001119,7,5.7,14.0,0.92,0.9957,0.65,0.6,9.1,False
20001120,6,4.3,10.0,0.91,0.9983,0.61,0.2,6.3,False
20001121,6,5.7,12.0,0.86,1.0006,0.28,0.5,6.2,False
20001122,4,5.9,14.0,0.83,1.0012,0.02,3.1,8.6,False
20001123,7,4.3,9.0,0.93,1.0005,0.44,0.0,8.4,False
20001124,5,4.5,11.0,0.9,1.0058,0.03,2.9,7.0,False
20001125,7,5.8,13.0,0.89,1.0021,0.8,1.6,7.2,False
20001126,5,5.8,14.0,0.88,0.9982,0.25,1.3,7.6,False
20001127,5,4.3,10.0,0.91,1.0127,0.1,4.8,6.6,False
20001128,7,5.4,13.0,0.92,1.0102,0.79,0.0,11.9,False
20001129,6,3.9,8.0,0.87,1.0075,0.0,2.1,11.1,False
20001130,5,3.5,10.0,0.89,1.0142,0.0,5.9,10.6,False
20001201,7,5.2,12.0,0.88,1.0094,0.12,0.4,11.6,False
20001202,6,3.4,9.0,0.93,1.0128,0.15,0.3,10.5,False
20001203,4,3.8,11.0,0.93,1.015,0.78,3.5,8.4,False
20001204,5,5.4,13.0,0.89,1.0123,0.06,1.5,7.0,False
20001205,5,4.8,10.0,0.84,1.0109,0.02,3.9,9.6,False
20001206,7,4.4,13.0,0.91,1.0092,0.26,0.2,10.9,False
20001207,7,4.7,12.0,0.93,1.0042,0.14,0.2,9.8,False
20001208,5,6.7,19.0,0.78,0.9995,0.12,1.7,12.2,False
20001209,5,5.8,15.0,0.84,1.0084,0.0,1.7,9.4,False
20001210,7,6.7,21.0,0.86,1.0076,0.7,0.0,9.6,False
20001211,7,7.3,18.0,0.86,1.0151,1.05,0.5,12.0,False
20001212,8,6.8,15.0,0.92,1.0117,0.63,0.0,13.1,False
20001213,6,10.2,28.0,0.78,1.0055,0.27,0.5,10.8,False
20001214,6,5.5,17.0,0.87,1.0027,0.39,1.0,7.4,False
20001215,7,4.8,14.0,0.89,1.0025,1.28,0.4,5.6,False
20001216,7,4.1,12.0,0.89,1.0095,0.86,0.0,4.1,False
20001217,5,2.6,7.0,0.94,1.0139,0.03,5.6,2.5,False
20001218,8,2.3,5.0,0.93,1.0175,0.0,0.0,3.2,False
20001219,4,4.0,9.0,0.92,1.0216,0.0,5.8,2.7,False
20001220,3,6.2,14.0,0.8,1.021,0.0,5.4,1.6,False
20001221,1,4.9,11.0,0.72,1.0219,0.0,6.5,-0.1,False
20001222,1,2.8,6.0,0.78,1.0184,0.0,6.6,-2.3,False
20001223,3,1.4,4.0,0.91,1.0115,0.01,6.6,-2.0,False
20001224,8,2.8,9.0,0.97,1.0028,0.48,0.7,0.6,False
20001225,5,6.0,14.0,0.84,1.0006,0.02,3.5,-0.6,False
20001226,7,4.5,11.0,0.82,0.9947,0.0,2.3,-2.2,False
20001227,8,3.0,7.0,0.93,0.9912,0.21,0.0,-1.0,False
20001228,7,4.2,16.0,0.91,0.9934,0.16,1.5,0.5,False
20001229,5,5.3,13.0,0.88,0.9952,0.47,3.1,0.6,False
20001230,6,2.8,10.0,0.92,1.0011,0.94,0.7,1.7,False
20001231,5,3.7,12.0,0.92,1.0132,0.0,4.6,-0.1,False
20010101,8,5.8,15.0,0.91,0.9966,0.95,0.0,3.4,False
20010102,6,6.0,15.0,0.83,0.9918,0.03,2.7,8.7,False
20010103,6,5.3,13.0,0.86,1.0009,0.4,5.2,6.7,False
20010104,8,6.2,14.0,0.89,0.9949,0.49,0.0,7.8,False
20010105,8,5.9,20.0,0.92,0.9874,1.89,0.0,7.6,False
20010106,5,4.0,10.0,0.92,0.9983,0.21,1.9,5.9,False
20010107,6,4.4,11.0,0.91,1.008,0.03,0.0,5.2,False
20010108,5,3.8,10.0,0.94,1.0116,0.17,1.5,3.9,False
20010109,5,2.5,7.0,0.94,1.0142,0.0,2.7,4.0,False
20010110,8,3.8,9.0,0.92,1.0134,0.0,1.6,2.4,False
